Team,Opponent,Team_Score,Opponent_Score
VALENCIA,ZARAGOZA,3.0,2.0
ALBACETE,ESPANYOL,2.0,1.0
MALLORCA,BETIS,2.0,1.0
SEVILLA,CELTA VIGO,0.0,1.0
ATHLETIC BILBAO,RACING SANTANDER,1.0,2.0
BARCELONA,VALLADOLID,0.0,0.0
DEPORTIVO LA CORUNA,VILLARREAL,0.0,1.0
REAL SOCIEDAD,VALENCIA,0.0,0.0
CELTA VIGO,ALBACETE,2.0,2.0
BETIS,MURCIA,1.0,1.0
VILLARREAL,MALLORCA,0.0,2.0
MALAGA,BARCELONA,5.0,1.0
VALLADOLID,DEPORTIVO LA CORUNA,1.0,1.0
ESPANYOL,OSASUNA,0.0,1.0
REAL MADRID,ATLETICO MADRID,2.0,0.0
RACING SANTANDER,SEVILLA,0.0,4.0
ZARAGOZA,ATHLETIC BILBAO,2.0,2.0
OSASUNA,CELTA VIGO,3.0,2.0
DEPORTIVO LA CORUNA,MALAGA,1.0,0.0
REAL SOCIEDAD,BETIS,0.0,4.0
BARCELONA,REAL MADRID,1.0,2.0
MALLORCA,VALLADOLID,1.0,0.0
MURCIA,VILLARREAL,1.0,1.0
ALBACETE,RACING SANTANDER,4.0,0.0
SEVILLA,ZARAGOZA,3.0,2.0
ATLETICO MADRID,ESPANYOL,2.0,0.0
VALENCIA,ATHLETIC BILBAO,2.0,1.0
ESPANYOL,BARCELONA,1.0,3.0
VILLARREAL,REAL SOCIEDAD,2.0,0.0
CELTA VIGO,ATLETICO MADRID,2.0,2.0
MALAGA,MALLORCA,3.0,1.0
VALLADOLID,MURCIA,0.0,0.0
RACING SANTANDER,OSASUNA,0.0,0.0
BETIS,VALENCIA,0.0,1.0
ZARAGOZA,ALBACETE,0.0,1.0
REAL MADRID,DEPORTIVO LA CORUNA,2.0,1.0
ATHLETIC BILBAO,SEVILLA,2.0,1.0
REAL SOCIEDAD,VALLADOLID,1.0,3.0
